rent_price,deposit_cost,year_built,floor,size,type,location,prefecture
29000,0,1975,3/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
26000,0,1975,3/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
28000,0,1975,4/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
22000,0,1981,5/5F,53.96,3DK Apartment,"KamoshoSanuki-shi, Kagawa",Kagawa
31000,0,1975,2/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
27000,0,1975,4/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
29000,0,1975,2/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
28000,0,1988,5/5F,53.08,3DK Apartment,"MachidaHigashikagawa-shi, Kagawa",Kagawa
24000,0,1975,5/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
39000,0,1988,2/5F,53.08,3DK Apartment,"MachidaHigashikagawa-shi, Kagawa",Kagawa
27000,0,1981,4/5F,53.96,3DK Apartment,"KamoshoSanuki-shi, Kagawa",Kagawa
24000,0,1975,5/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
29000,0,1981,3/5F,53.96,3DK Apartment,"KamoshoSanuki-shi, Kagawa",Kagawa
28000,0,1975,5/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
24000,0,1975,5/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
29000,0,1979,5/5F,39.83,2DK Apartment,"Takumacho takumaMitoyo-shi,",Kagawa
30000,0,1975,1/5F,33.61,2K Apartment,"KiraiHigashikagawa-shi, Kagawa",Kagawa
34500,0,1990,1/2F,16.00,1K Apartment,"HaikechoNagoya-shi Nakagawa-ku,",Aichi
60000,0,2003,1/2F,23.18,1K Apartment,"NawamachiTokai-shi, Aichi",Aichi
56500,0,2008,3/3F,20.81,1K Apartment,"InabajihontoriNagoya-shi Nakamura-ku,",Aichi
61500,0,2009,1/3F,20.81,1K Apartment,"MatsubachoNagoya-shi Nakagawa-ku,",Aichi
